content,url,type,level
mens lace up shoes,https://moz.com/beginners-guide-to-seo,content,0
mens sweatshirts uk,https://moz.com/beginners-guide-to-seo,content,0
hilfiger horloge,https://moz.com/beginners-guide-to-seo,content,0
macys hilfiger hose,https://moz.com/beginners-guide-to-seo,content,0
sweater for men,https://moz.com/beginners-guide-to-seo,content,0
macys hilfiger boxers,https://moz.com/beginners-guide-to-seo,content,0
mens polo tops,https://moz.com/beginners-guide-to-seo,content,0
bikini,https://moz.com/beginners-guide-to-seo,content,0
occhiali da sole donna,https://moz.com/beginners-guide-to-seo,content,0
espadrilles womens,,,
gym bags for men,,,
dames bikinibroekje,,,
mens suede brogues,,,
ladies v neck jumper,,,
bootsschuhe hilfiger herren,,,
bottes pluie macys hilfiger,,,
macys kostuum,,,
womens clutch bag,,,
womens cotton pajamas,,,
mens tailored shirts,,,
macys hilfiger sweatshirt,,,
dames duffle tas,,,
kleding voor vrouwen,,,
hilfiger hoodies,,,
short de bain homme macys hilfiger,,,
girls cardigans,,,
